"Probe Number","Probe Name","OS","Media","Test start time","Test duration","Connection start time","Connection duration","callSetupTime","score","sessionNumber","inSessionIdx","networking","firewall","browser","location","status","URL","reason","audioBitrate_In","audioBitrate_Out","audioBitrate_In_Max","audioBitrate_In_Min","audioBitrate_Out_Max","audioBitrate_Out_Min","audioPackets_In","audioPacketsLoss_In","audioPacketsLossPercent_In","audioPackets_Out","audioPacketsLoss_Out","audioPacketsLossPercent_Out","audioJitter_In","audioJitter_In_Max","audioJitter_Out","audioJitter_Out_Max","audioRoundtrip","audioRoundtrip_Max","videoBitrate_In","videoBitrate_Out","videoBitrate_In_Max","videoBitrate_In_Min","videoBitrate_Out_Max","videoBitrate_Out_Min","videoPackets_In","videoPacketsLoss_In","videoPacketsLossPercent_In","videoPackets_Out","videoPacketsLoss_Out","videoPacketsLossPercent_Out","videoJitter_In","videoJitter_In_Max","videoJitter_Out","videoJitter_Out_Max","videoRoundtrip","videoRoundtrip_Max"
"01","proud-wheel-01","Linux","VOA-VGA04 (480x640)","2021-03-23T19:30:47.526Z","342.905","2021-03-23T19:32:33.365Z","175.557",70.05,5.6,1,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcaa","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","143.31","29.60","33.48","12.55","67.30","13.30",30041,0,"0 %",8303,0,"0 %","12.49",52,"9.80","23.77","25.37",188,"4293.20","778.57","1268.60","303.05","2219.51","92.45",62333,0,"0 %",15842,1,"0.01 %","94.20","216.89","8.87","29.38","22.72",109
"02","proud-wheel-02","Linux","VOA-VGA (480x640)","2021-03-23T19:30:47.529Z","334.119","2021-03-23T19:33:35.916Z","112.58",4,5.6,1,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcab","https:/www.staging.liviasaude.com.br/assetslv2/img/marca-delboni.svg - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","28.42","27.95","34.39",19,"33.42","18.02",5258,0,"0 %",5356,0,"0 %","12.92",32,"7.92","13.17","18.59",27,"821.48","856.00","1361.78","152.74","1274.37","222.75",10551,0,"0 %",11546,0,"0 %","258.13","448.00","6.37","14.86","20.60",342
"03","proud-wheel-03","Linux","VOA-VGA04 (480x640)","2021-03-23T19:30:47.530Z","366.88","2021-03-23T19:32:39.786Z","182.876",59.33,5.9,2,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcac","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","120.84","60.87","33.61","13.18","92.70","15.22",18444,0,"0 %",15079,1,"0.01 %","13.61",29,"13.61","18.40","36.68",108,"3034.77","1690.28","1397.18","231.03","1637.26","200.78",39662,0,"0 %",30111,"1.50","0.01 %","1137.36","2429.00","9.53","26.69","31.73",129
"04","proud-wheel-04","Linux","VOA-VGA (480x640)","2021-03-23T19:30:47.531Z","330.779","2021-03-23T19:33:30.986Z","115.627",3.63,6,2,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcad","https:/www.staging.liviasaude.com.br/assetslv2/img/logo-livia-azul.svg - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","58.88","30.14","90.25",0,"32.95","7.75",10922,0,"0 %",5504,0,"0 %","16.08",35,"7.06","9.58","18.28",26,"1740.29","893.70","1600.82","197.57","1361.46","237.13",22958,0,"0 %",12144,0,"0 %","518.08","903.00","6.31","12.93","19.79",213
"05","proud-wheel-05","Linux","VOA-VGA04 (480x640)","2021-03-23T19:30:47.532Z","344.545","2021-03-23T19:32:35.192Z","171.395",63.7,5.6,3,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcae","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","117.10","59.69","119.13","6.76","94.87","14.23",24945,0,"0 %",15194,"1.50","0.02 %","13.35",23,"13.32","24.90","43.12",225,"3421.86","1573.36","4371.01","197.59","1732.27","109.32",50784,0,"0 %",28790,1,"0.01 %","6430.57","87232.31","9.57","23.67","35.15",153
"06","proud-wheel-06","Linux","VOA-VGA (480x640)","2021-03-23T19:30:47.533Z","327.122","2021-03-23T19:33:29.497Z","117.345",4,5.6,3,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcaf","https:/www.staging.liviasaude.com.br/assetslv2/img/seta-link.svg - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","57.49","28.37","37.02","12.69","33.31","17.93",10885,0,"0 %",5657,0,"0 %","15.14",34,"7.00","11.21","18.11",28,"1613.21","863.13","1610.28","249.51","1164.48","250.57",21660,0,"0 %",12154,0,"0 %","362.86","563.05","6.00","14.53","17.66",44
"07","proud-wheel-07","Linux","VOA-VGA04 (480x640)","2021-03-23T19:30:47.534Z","370.129","2021-03-23T19:32:35.415Z","199.652",83.05,5.5,4,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcb0","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","212.79","62.09","34.73","20.34","293.73","15.28",51382,0,"0 %",17553,"1.50","0.02 %","17.44",31,"15.14","34.27","56.61",217,"5028.52","1117.97","1177.55","269.17","3783.86","168.73",83057,0,"0 %",23337,1,"0.01 %","1344.94","2036.60","14.03","31.37","52.49",261
"08","proud-wheel-08","Linux","VOA-VGA (480x640)","2021-03-23T19:30:47.535Z","340.767","2021-03-23T19:33:42.723Z","131.414",4.08,5.2,4,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcb1","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:944575 Se","56.80","28.67","125.13",0,"33.73","18.01",12079,0,"0 %",6339,0,"0 %","18.47",53,"6.36","9.38","18.29",42,"865.36","835.67","1220.45","146.69","1122.77","277.48",14064,0,"0 %",13356,0,"0 %","520.81","852.47","6.01","13.03","17.62",32
"09","proud-wheel-09","Linux","VOA-VGA04 (480x640)","2021-03-23T19:30:47.536Z","361.011","2021-03-23T19:32:39.996Z","178.696",77.65,5.8,5,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcb2","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","147.93","29.23","34.14","18.21","53.13","3.19",31945,0,"0 %",8631,2,"0.02 %","8.71",17,"8.38","13.94","21.87",38,"4241.08","832.91","1052.14","336.40","1955.34","126.98",65045,0,"0 %",17638,0,"0 %","76.85","91.55","7.65","16.69","22.57",79
"10","proud-wheel-10","Linux","VOA-VGA (480x640)","2021-03-23T19:30:47.539Z","342.662","2021-03-23T19:33:48.273Z","108.938",2.02,6,5,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcb3","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:944575 Se","28.63","30.21","34.25","18.84","33.29","22.98",5233,0,"0 %",5334,0,"0 %","11.08",24,"5.19","7.17","16.82",25,"760.76","864.99","1347.23","259.53","1054.31","249.51",9771,0,"0 %",11403,0,"0 %","230.80","332.00","4.68","11.21","17.25",36
