"Probe Number","Probe Name","OS","Media","Test start time","Test duration","Connection start time","Connection duration","callSetupTime","score","sessionNumber","inSessionIdx","networking","firewall","browser","location","status","URL","reason","audioBitrate_In","audioBitrate_Out","audioBitrate_In_Max","audioBitrate_In_Min","audioBitrate_Out_Max","audioBitrate_Out_Min","audioPackets_In","audioPacketsLoss_In","audioPacketsLossPercent_In","audioPackets_Out","audioPacketsLoss_Out","audioPacketsLossPercent_Out","audioJitter_In","audioJitter_In_Max","audioJitter_Out","audioJitter_Out_Max","audioRoundtrip","audioRoundtrip_Max","videoBitrate_In","videoBitrate_Out","videoBitrate_In_Max","videoBitrate_In_Min","videoBitrate_Out_Max","videoBitrate_Out_Min","videoPackets_In","videoPacketsLoss_In","videoPacketsLossPercent_In","videoPackets_Out","videoPacketsLoss_Out","videoPacketsLossPercent_Out","videoJitter_In","videoJitter_In_Max","videoJitter_Out","videoJitter_Out_Max","videoRoundtrip","videoRoundtrip_Max"
"001","quixotic-meat-001","Linux","VOA-VGA04 (480x640)","2021-03-23T18:55:51.479Z","399.62","2021-03-23T18:57:47.169Z","218.304",113.91,5.5,1,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a39b7617f9e001181b367","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","197.79","58.44","82.86",0,"41.91","14.80",54178,"6.14","0.08 %",19952,77,"0.77 %","17.61",90,"11.06","20.75","34.69",121,"4997.04","1633.61","1224.45","263.56","1574.81","219.34",97672,0,"0 %",40534,0,"0 %","1395.25","2349.95","8.30","33.66","30.15",144
"002","quixotic-meat-002","Linux","VOA-VGA (480x640)","2021-03-23T18:55:51.482Z","392.283","2021-03-23T18:59:34.925Z","107.355",3,5.2,1,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a39b7617f9e001181b368","Error while running .navigateTo) protocol action: An unknown error has occurred.","57.74","25.54","33.28","18.79","33.90","12.45",10318,"21.50","0.42 %",5128,61,"1.19 %","10.11",19,"7.78","11.33","21.10",34,"1618.24","715.28","1290.62","277.22","1251.16","281.71",20274,0,"0 %",9292,0,"0 %","125.85","168.00","7.53","19.12","24.34",173
"003","quixotic-meat-003","Linux","VOA-VGA04 (480x640)","2021-03-23T18:55:51.484Z","417.933","2021-03-23T18:57:40.535Z","242.162",133.8,5.5,2,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a39b7617f9e001181b369","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","199.44","59.34","57.23","7.80","115.60","2.39",57758,"25.71","0.31 %",22381,39,"0.35 %","13.43",38,"12.04","24.52","38.51",193,"5395.13","1476.79","1083.14","170.95","1400.91","95.63",114744,0,"0 %",40811,0,"0 %","1667.31","3242.29","11.09","53.67","34.34",226
"004","quixotic-meat-004","Linux","VOA-VGA (480x640)","2021-03-23T18:55:51.485Z","392.429","2021-03-23T18:59:42.753Z","115.628",3.67,5.3,2,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a39b7617f9e001181b36a","Error while running .navigateTo) protocol action: An unknown error has occurred.","53.25","29.91","272.80",0,"33.56","13.78",10108,27,"0.53 %",5592,57,"1.02 %","21.89",286,"6.61","18.60","18.76",31,"1251.96","736.50","1294.43","215.09","1122.02","174.17",17209,0,"0 %",10439,0,"0 %","732.96","1413.16","6.78","34.82","20.19",54
"005","quixotic-meat-005","Linux","VOA-VGA04 (480x640)","2021-03-23T18:55:51.487Z","413.808","2021-03-23T18:57:40.857Z","237.996",128.99,5.2,3,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a39b7617f9e001181b36b","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","197.11","57.07","96.48",0,"104.58","4.84",55008,"32.14","0.41 %",21586,78,"0.72 %","15.98",66,"12.65","22.15","37.79",230,"5013.02","1476.92","1232.84","277.55","1479.03","54.97",102758,0,"0 %",39942,0,"0 %","2039.76","2983.23","12.10",48,"31.65",123
"006","quixotic-meat-006","Linux","VOA-VGA (480x640)","2021-03-23T18:55:51.488Z","400.574","2021-03-23T18:59:38.962Z","112.598",5.13,5,3,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a39b7617f9e001181b36c","Error while running .navigateTo) protocol action: An unknown error has occurred.","51.98","29.01","242.33",0,"33.30","13.87",10205,"45.50","0.89 %",5299,58,"1.09 %","20.49",82,"8.04","13.65","20.07",34,"1144.20","700.05","1289.97","140.18","1228.34","262.71",15406,0,"0 %",9408,0,"0 %","803.57","1535.47","7.83","20.23","20.15",49
"007","quixotic-meat-007","Linux","VOA-VGA04 (480x640)","2021-03-23T18:55:51.532Z","409.608","2021-03-23T18:57:47.519Z","230.107",121.79,5.6,4,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a39b7617f9e001181b36d","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","114.10","29.56","92.70",0,"78.61","9.41",30455,19,"0.25 %",11121,0,"0 %","10.71",56,"7.53","12.98","20.02",65,"3217.66","829.37","2874.09","240.66","2850.30","181.33",60970,0,"0 %",22324,1,"0.00 %","814.98","1739.00","6.71","17.71","18.71",64
"008","quixotic-meat-008","Linux","VOA-VGA (480x640)","2021-03-23T18:55:51.533Z","400.103","2021-03-23T18:59:42.240Z","115.151",4.21,5.5,4,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a39b7617f9e001181b36e","Error while running .navigateTo) protocol action: An unknown error has occurred.","26.81","28.81","216.63",0,"33.16","15.25",5336,35,"0.66 %",5525,62,"1.12 %","19.41",218,"7.48","14.71","20.75",38,"858.93","805.53","1606.14","158.30","1307.47","153.06",11313,0,"0 %",11093,0,"0 %","733.85","1889.67","6.75","25.82","20.00",49
"009","quixotic-meat-009","Linux","VOA-VGA04 (480x640)","2021-03-23T18:55:51.533Z","416.853","2021-03-23T18:57:46.579Z","235.594",125.5,5.6,5,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a39b7617f9e001181b36f","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","201.31","58.10","33.21","15.31","77.39","10.04",59194,"28.57","0.34 %",22051,82,"0.74 %","14.11",29,"11.78","36.31","30.08",96,"5794.44","1500.34","1450.92","246.08","1499.34","190.63",120043,0,"0 %",41178,0,"0 %","1269.62","2433.45","10.22","30.34","28.95",167
"010","quixotic-meat-010","Linux","VOA-VGA (480x640)","2021-03-23T18:55:51.538Z","404.738","2021-03-23T18:59:43.882Z","118.414",4.92,5.3,5,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a39b7617f9e001181b370","Error while running .navigateTo) protocol action: An unknown error has occurred.","55.78","27.44","33.20","19.38","33.43","15.96",11366,"18.50","0.33 %",5579,0,"0 %","13.75",26,"7.53","13.25","16.73",25,"1436.59","812.76","1422.47","265.66","1460.36","241.25",20176,0,"0 %",11352,1,"0.01 %","240.69","320.46","6.51","14.41","19.23",56
