"Probe Number","Probe Name","OS","Media","Test start time","Test duration","Connection start time","Connection duration","callSetupTime","score","sessionNumber","inSessionIdx","networking","firewall","browser","location","status","URL","reason","audioBitrate_In","audioBitrate_Out","audioBitrate_In_Max","audioBitrate_In_Min","audioBitrate_Out_Max","audioBitrate_Out_Min","audioPackets_In","audioPacketsLoss_In","audioPacketsLossPercent_In","audioPackets_Out","audioPacketsLoss_Out","audioPacketsLossPercent_Out","audioJitter_In","audioJitter_In_Max","audioJitter_Out","audioJitter_Out_Max","audioRoundtrip","audioRoundtrip_Max","videoBitrate_In","videoBitrate_Out","videoBitrate_In_Max","videoBitrate_In_Min","videoBitrate_Out_Max","videoBitrate_Out_Min","videoPackets_In","videoPacketsLoss_In","videoPacketsLossPercent_In","videoPackets_Out","videoPacketsLoss_Out","videoPacketsLossPercent_Out","videoJitter_In","videoJitter_In_Max","videoJitter_Out","videoJitter_Out_Max","videoRoundtrip","videoRoundtrip_Max"
"001","sad-stone-001","Linux","VOA-VGA04 (480x640)","2021-03-23T20:09:10.546Z","843.62","2021-03-23T20:11:45.496Z","681.177",73.49,5.8,1,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a4ae6a5725c0011530f44","Error while running .elementSubmit) protocol action: stale element reference: element is not attached to the page document","57.55","30.74","68.90",0,"64.17","8.34",13420,0,"0 %",8694,28,"0.32 %","12.28",42,"10.56","40.46","30.10",202,"1537.56","823.19","1179.06","43.30","1927.07","235.05",25854,0,"0 %",17351,0,"0 %","77.01","100.10","7.59","72.91","27.68",306
"002","sad-stone-002","Linux","VOA-VGA (480x640)","2021-03-23T20:09:10.548Z","388.634","2021-03-23T20:12:56.012Z","108.246",3.28,5.6,1,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a4ae6a5725c0011530f45","Error while running .navigateTo) protocol action: An unknown error has occurred.","28.87","28.38","85.51",0,"34.45","15.68",5252,0,"0 %",5234,54,"1.03 %","14.04",78,"10.55","39.56","62.41",641,"859.85","742.02","1629.92","279.10","1240.23","189.73",10920,0,"0 %",9905,8,"0.08 %","678.61","1542.00","9.13","105.29","32.25",292
"003","sad-stone-003","Linux","VOA-VGA04 (480x640)","2021-03-23T20:09:10.549Z","397.922","2021-03-23T20:11:10.001Z","217.982",113.99,5.9,2,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a4ae6a5725c0011530f46","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","117.17","30.56","140.23",0,"77.29","7.85",29990,0,"0 %",10509,0,"0 %","14.14",51,"8.29","22.52","21.87",148,"3178.97","865.91","1374.77","55.72","2267.75","172.26",60529,0,"0 %",22263,1,"0.00 %","360.45","754.00","6.44","17.94","22.28",130
"004","sad-stone-004","Linux","VOA-VGA (480x640)","2021-03-23T20:09:10.549Z","394.051","2021-03-23T20:12:56.137Z","112.006",4.04,5.7,2,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a4ae6a5725c0011530f47","Error while running .navigateTo) protocol action: An unknown error has occurred.","27.84","28.67","182.37",0,"33.38","17.79",5387,0,"0 %",5355,29,"0.54 %","16.64",37,"10.70","27.10","33.24",229,"861.05","832.48","1658.87","235.59","1446.93","122.86",11174,0,"0 %",11030,0,"0 %","854.59","2342.53","8.31","79.71","25.36",194
"005","sad-stone-005","Linux","VOA-VGA04 (480x640)","2021-03-23T20:09:10.550Z","371.762","2021-03-23T20:11:55.606Z","140.347",39.67,5.2,3,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a4ae6a5725c0011530f48","https:/www.staging.liviasaude.com.br/assetslv2/img/marca-szd.png - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","85.18","28.86","135.69",0,"55.36","12.54",15771,0,"0 %",6720,71,"1.06 %","13.01",73,"9.65","35.17","23.14",61,"2176.61","665.63","1229.29","94.17","1216.97","58.93",28554,0,"0 %",11482,43,"0.37 %","216.72","15601.33","9.52","46.98","27.44",415
"006","sad-stone-006","Linux","VOA-VGA (480x640)","2021-03-23T20:09:10.551Z","371.505","2021-03-23T20:12:28.921Z","105.936",5.62,5.5,3,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a4ae6a5725c0011530f49","https:/www.staging.liviasaude.com.br/assetslv2/js/owl.carousel.min.js - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","28.12","28.80","209.57",0,"33.34","15.97",5067,0,"0 %",5019,69,"1.37 %","15.06",92,"9.49","35.75","32.99",339,"671.74","812.79","1148.62",0,"1338.67","248.91",8431,0,"0 %",10113,67,"0.66 %","1018.04","2201.00","7.61","44.11","26.56",243
"007","sad-stone-007","Linux","VOA-VGA04 (480x640)","2021-03-23T20:09:10.552Z","394.671","2021-03-23T20:11:10.649Z","211.674",122.67,5.6,4,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a4ae6a5725c0011530f4a","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","85.92","29.70","61.52",0,"42.73","14.41",17281,0,"0 %",10395,52,"0.50 %","11.19",27,"7.56","21.98","24.96",276,"2351.69","831.77","1460.41","140.80","1852.09","172.91",34112,0,"0 %",21319,111,"0.52 %","2185.96",79392,"7.03","72.84","20.95",238
"008","sad-stone-008","Linux","VOA-VGA (480x640)","2021-03-23T20:09:10.552Z","391.063","2021-03-23T20:13:00.196Z","100.349",4,5.4,4,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a4ae6a5725c0011530f4b","Error while running .navigateTo) protocol action: An unknown error has occurred.","26.54","29.08","218.92",0,"33.02","20.07",4490,0,"0 %",4792,32,"0.67 %","20.37",232,"8.39",17,"21.85",50,"728.76","807.71","1551.78","113.08","1384.07","183.10",8440,0,"0 %",9590,1,"0.01 %","302.07","773.00","7.62","16.43","43.54",931
"009","sad-stone-009","Linux","VOA-VGA04 (480x640)","2021-03-23T20:09:10.553Z","400.561","2021-03-23T20:11:09.307Z","218.398",113.01,5.9,5,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a4ae6a5725c0011530f4c","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","118.57","59.55","110.71",0,"73.93","12.57",35524,"1.50","0.02 %",20683,"55.50","0.54 %","12.56",61,"9.05","21.94","29.29",84,"3409.49","1634.51","1979.58",0,"1863.10","98.91",73751,0,"0 %",41730,"107.50","0.52 %","268.05","627.00","11.48","264.26","42.45",1615
"010","sad-stone-010","Linux","VOA-VGA (480x640)","2021-03-23T20:09:10.562Z","394.072","2021-03-23T20:13:02.364Z","103.013",4,5,5,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a4ae6a5725c0011530f4d","Error while running .navigateTo) protocol action: An unknown error has occurred.","29.37",0,"157.83",0,0,0,4715,0,"0 %",0,0,"0 %","16.56",102,0,0,0,0,"651.30",0,"1967.91",0,0,0,7850,0,"0 %",0,0,"0 %","106.97","149.75",0,0,0,0
