"Probe Number","Probe Name","OS","Media","Test start time","Test duration","Connection start time","Connection duration","callSetupTime","score","sessionNumber","inSessionIdx","networking","firewall","browser","location","status","URL","reason","audioBitrate_In","audioBitrate_Out","audioBitrate_In_Max","audioBitrate_In_Min","audioBitrate_Out_Max","audioBitrate_Out_Min","audioPackets_In","audioPacketsLoss_In","audioPacketsLossPercent_In","audioPackets_Out","audioPacketsLoss_Out","audioPacketsLossPercent_Out","audioJitter_In","audioJitter_In_Max","audioJitter_Out","audioJitter_Out_Max","audioRoundtrip","audioRoundtrip_Max","videoBitrate_In","videoBitrate_Out","videoBitrate_In_Max","videoBitrate_In_Min","videoBitrate_Out_Max","videoBitrate_Out_Min","videoPackets_In","videoPacketsLoss_In","videoPacketsLossPercent_In","videoPackets_Out","videoPacketsLoss_Out","videoPacketsLossPercent_Out","videoJitter_In","videoJitter_In_Max","videoJitter_Out","videoJitter_Out_Max","videoRoundtrip","videoRoundtrip_Max"
"01","waiting-balloon-01","Linux","VOA-VGA04 (480x640)","2021-03-23T19:51:20.105Z","364.836","2021-03-23T19:53:08.437Z","191.06",82.42,5.8,1,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d63","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","213.02","60.32","36.28","15.97","154.95","14.59",47451,"0.86","0.01 %",16886,8,"0.09 %","17.19",31,"14.06","27.63","48.91",395,"5893.32","1464.27","1176.97","280.26","1839.16","105.66",92859,0,"0 %",29158,0,"0 %","1393.45","2421.31","11.93","34.31","60.42",428
"02","waiting-balloon-02","Linux","VOA-VGA (480x640)","2021-03-23T19:51:20.107Z","335.305","2021-03-23T19:54:14.235Z","112.645",4,5.7,1,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d64","https:/www.staging.liviasaude.com.br/assetslv2/img/seta-link.svg - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","58.16","28.95","34.45","23.34","34.20","17.62",10607,0,"0 %",5419,0,"0 %","12.92",27,"6.98","12.92","16.88",37,"1506.12","809.69","1637.23","394.79","1157.57","269.91",19528,0,"0 %",10955,1,"0.01 %","237.72","405.17","6.34","12.99","17.93",42
"03","waiting-balloon-03","Linux","VOA-VGA04 (480x640)","2021-03-23T19:51:20.113Z","364.538","2021-03-23T19:53:08.210Z","195.27",98.62,5.8,2,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d65","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","85.70","29.98","33.83","16.36","54.21","11.37",18184,1,"0.02 %",9521,21,"0.22 %","8.47",17,"7.71","23.56","19.52",89,"2671.79","837.67","1260.79","300.91","1799.24","169.03",38959,0,"0 %",19464,0,"0 %","187.59","651.11","7.19","31.10","20.86",139
"04","waiting-balloon-04","Linux","VOA-VGA (480x640)","2021-03-23T19:51:20.114Z","357.348","2021-03-23T19:54:41.044Z","82.84",6.78,5.8,2,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d66","https:/www.staging.liviasaude.com.br/assetslv2/img/marca-frischmann.svg - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","29.47","27.98","34.59","22.31","33.39","16.90",3961,0,"0 %",3840,0,"0 %","10.41",20,"5.95","8.58","20.03",35,"950.13","875.71","1596.51","303.91","1282.04","303.93",8748,0,"0 %",8139,1,"0.01 %","165.46","216.00","5.84","13.41","18.68",46
"05","waiting-balloon-05","Linux","VOA-VGA04 (480x640)","2021-03-23T19:51:20.115Z","350.654","2021-03-23T19:53:11.630Z","172.398",32.61,5.4,3,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d67","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","203.34","59.20","76.16","3.13","72.86","7.13",49189,0,"0 %",15134,7,"0.09 %","15.65",99,"14.75","26.46","47.71",180,"5121.82","1387.83","1870.70","246.09","1897.07","33.97",86681,0,"0 %",25452,0,"0 %","1132.37","1953.33","11.49","30.94","49.12",557
"06","waiting-balloon-06","Linux","VOA-VGA (480x640)","2021-03-23T19:51:20.116Z","313.36","2021-03-23T19:53:39.603Z","138.464",4,5.4,3,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d68","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:944575 Se","56.86","28.10","136.66",0,"33.09","18.08",13079,0,"0 %",6663,24,"0.36 %","16.20",38,"7.73","10.94","19.84",33,"1440.52","753.27","1916.84","240.39","1267.48","223.16",23162,0,"0 %",12519,0,"0 %","327.21","846.73","7.25","15.21","20.49",143
"07","waiting-balloon-07","Linux","VOA-VGA04 (480x640)","2021-03-23T19:51:20.116Z","370.306","2021-03-23T19:53:07.664Z","199.748",106.02,5.4,4,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d69","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","198.71","56.30","36.77","19.40","145.09","10.58",50117,0,"0 %",18393,"17.50","0.19 %","12.95",24,"11.43","21.33","31.02",115,"5580.15","1565.19","1554.08","237.83","1570.23","68.55",95927,0,"0 %",35144,"0.50","0.00 %","1400.26","2465.23","8.80","29.86","32.69",172
"08","waiting-balloon-08","Linux","VOA-VGA (480x640)","2021-03-23T19:51:20.117Z","366.666","2021-03-23T19:54:39.675Z","106.216",8.22,5.2,4,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d6a","https:/www.staging.liviasaude.com.br/assetslv2/js/owl.carousel.min.js - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","54.03","28.47","107.61",0,"32.76","16.18",9885,0,"0 %",4892,6,"0.12 %","13.87",27,"7.13","12.08","21.32",42,"1484.45","770.41","1459.05","66.97","1548.48","244.76",17943,0,"0 %",9264,0,"0 %","553.59","1479.54","7.43","18.39","19.53",45
"09","waiting-balloon-09","Linux","VOA-VGA04 (480x640)","2021-03-23T19:51:20.118Z","378.491","2021-03-23T19:53:15.510Z","198.564",101.38,5.9,5,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d6b","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","212.15","59.05","35.84","19.97","218.77","15.73",45390,0,"0 %",16579,"9.50","0.11 %","19.53",28,"14.39","26.08","60.02",317,"6044.37","1460.10","1234.36","383.05","2230.76","138.99",90110,0,"0 %",29237,0,"0 %","1297.10","2154.89","11.76","30.24","57.47",369
"10","waiting-balloon-10","Linux","VOA-VGA (480x640)","2021-03-23T19:51:20.119Z","361.389","2021-03-23T19:54:44.128Z","81.378",11.5,5.6,5,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d6c","Error while running .navigateTo) protocol action: An unknown error has occurred.","58.75","28.88","65.70","23.47","33.89","19.07",7575,0,"0 %",3490,0,"0 %","11.55",28,"8.31","14.02","19.75",28,"1434.38","777.08","1383.27","301.48","1207.95","228.70",12941,0,"0 %",6719,1,"0.01 %","135.71","210.00","7.03","17.72","20.41",52
