"Probe Number","Probe Name","OS","Media","Test start time","Test duration","Connection start time","Connection duration","callSetupTime","score","sessionNumber","inSessionIdx","networking","firewall","browser","location","status","URL","reason","audioBitrate_In","audioBitrate_Out","audioBitrate_In_Max","audioBitrate_In_Min","audioBitrate_Out_Max","audioBitrate_Out_Min","audioPackets_In","audioPacketsLoss_In","audioPacketsLossPercent_In","audioPackets_Out","audioPacketsLoss_Out","audioPacketsLossPercent_Out","audioJitter_In","audioJitter_In_Max","audioJitter_Out","audioJitter_Out_Max","audioRoundtrip","audioRoundtrip_Max","videoBitrate_In","videoBitrate_Out","videoBitrate_In_Max","videoBitrate_In_Min","videoBitrate_Out_Max","videoBitrate_Out_Min","videoPackets_In","videoPacketsLoss_In","videoPacketsLossPercent_In","videoPackets_Out","videoPacketsLoss_Out","videoPacketsLossPercent_Out","videoJitter_In","videoJitter_In_Max","videoJitter_Out","videoJitter_Out_Max","videoRoundtrip","videoRoundtrip_Max"
"001","overt-month-001","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.763Z","175.354","2021-07-08T23:15:46.057Z","122.214",3.21,8.3,1,1,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b523","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-fr-001 - Failed to load resource: the server responded with a status of 500 ()","11.96","12.44","16.80","2.80","16.87","0.25",4949,0,"0 %",5260,0,"0 %","3.65",8,"3.09","5.85","22.12",31,"976.32","1934.42","3173.57","29.62","317.48","57.96",13236,0,"0 %",28953,"1.67","0.02 %","3984.15",12695,"18.51","55.33","22.55",39
"002","overt-month-002","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.764Z","178.074","2021-07-08T23:15:46.807Z","123.96",1.99,7.3,1,2,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b524","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-fr-001 - Failed to load resource: the server responded with a status of 500 ()","12.30","11.89","17.57","3.04","17.10","0.34",5221,0,"0 %",5050,0,"0 %","3.33",12,"3.53","7.79","22.29",41,"1082.91","1652.94","2174.06","162.07","3294.16","101.64",15223,0,"0 %",25586,"0.67","0.01 %","3631.65",13251,"4.85","20.19","22.02",36
"003","overt-month-003","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.766Z","165.399","2021-07-08T23:15:34.507Z","123.016",2.03,7.9,2,1,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b525","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-fr-002 - Failed to load resource: the server responded with a status of 500 ()","12.55","12.50","17.07","0.42","16.95","1.23",5244,0,"0 %",5307,0,"0 %","3.47",7,"2.54","2.54",20,20,"1038.79","1843.19","2361.45","148.04","3691.30","348.39",14323,0,"0 %",27468,3,"0.03 %","3900.84",10638,"3.52","14.09","22.28",34
"004","overt-month-004","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.768Z","166.873","2021-07-08T23:15:35.434Z","124.003",1.28,8.5,2,2,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b526","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-fr-002 - Failed to load resource: the server responded with a status of 500 ()","12.45","12.54","17.07","2.08","16.95","0.30",5251,0,"0 %",5288,0,"0 %","3.29",6,"3.14","6.88","22.42",43,"1056.84","1904.63","2621.49",107,"302.60","56.49",14966,0,"0 %",27765,1,"0.01 %","3642.62",8511,"20.98","58.48","22.51",35
"005","overt-month-005","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.769Z","179.28","2021-07-08T23:15:48.770Z","121.982",4.1,7.9,3,1,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b527","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-fr-003 - Failed to load resource: the server responded with a status of 500 ()","12.45","11.97","16.94","0.35","16.80","0.37",5050,0,"0 %",5106,0,"0 %","3.64",6,"4.65","4.65",23,23,"1019.63","1617.85","3323.42","192.17","802.37","95.29",13822,0,"0 %",26056,0,"0 %","3931.50",9395,"11.15","45.07","21.69",31
"006","overt-month-006","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.769Z","182.821","2021-07-08T23:15:48.844Z","127",4,7,3,2,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b528","2021-07-08T23:15:48.954Z"" ""warn"" ""[RemoteVideoTrackPublication #1: MTc42435a63d71438dabdad56a0db964a7]"" ""MTc42435a63d71438dabdad56a0db964a7: ON > OFF","11.60","12.40","16.99","0.31","17.30","0.30",5106,0,"0 %",5258,0,"0 %","3.59",8,"3.51","6.46","23.85",42,"965.31","1657.88","2504.40","235.64","3167.73",0,13878,0,"0 %",27141,0,"0 %","3753.14",13161,"4.38","15.70","23.57",39
"007","overt-month-007","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.771Z","165.445","2021-07-08T23:15:34.510Z","123.119",3.2,8.6,4,1,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b529","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-fr-004 - Failed to load resource: the server responded with a status of 500 ()","12.57","12.36",17,"0.98","16.63","0.39",5227,0,"0 %",5298,0,"0 %","3.41",7,"5.79","5.79",20,20,"1186.34","1891.81","2794.51","246.77","689.96","102.78",16216,0,"0 %",28868,"0.33","0.00 %","3833.40",13556,"10.04","41.88","21.76",31
"008","overt-month-008","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.771Z","168.008","2021-07-08T23:15:34.707Z","125.957",2.99,8.4,4,2,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b52a","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-fr-004 - Failed to load resource: the server responded with a status of 500 ()","12.14","12.51","16.92","0.38","16.88","1.54",5281,0,"0 %",5330,0,"0 %","3.17",6,"3.12","5.50","22.35",41,"1179.64","1784.87","3407.17","327.78","783.86","124.72",16844,0,"0 %",27100,0,"0 %","3429.81",11487,"9.68","30.72","22.50",39
"009","overt-month-009","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.772Z","178.42","2021-07-08T23:15:43.384Z","125.96",3.11,7.4,5,1,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b52b","2021-07-08T23:15:43.276Z"" ""warn"" ""[RemoteVideoTrackPublication #1: MT1a591d14c584f49d62799fd8ac8b207a]"" ""MT1a591d14c584f49d62799fd8ac8b207a: ON > OFF","12.34","12.15","17.09","0.26","16.91","0.30",5333,0,"0 %",5210,0,"0 %","3.25",5,"3.56","5.85","21.34",33,"1030.11","1729.02","2127.79","141.76","3194.19",0,14554,1,"0.01 %",26837,"2.67","0.03 %","3907.28",18305,"4.51","17.30","22.16",33
"010","overt-month-010","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.773Z","173.289","2021-07-08T23:15:42.861Z","122.491",4.49,8.2,5,2,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b52c","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-fr-005 - Failed to load resource: the server responded with a status of 500 ()","12.24","12.63","17.04","0.30","17.01","0.30",5017,0,"0 %",5336,0,"0 %","3.70",7,"2.02","2.02",26,26,"1027.33","1859.85","3048.19","245.95","859.57","102.63",13836,0,"0 %",27395,1,"0.01 %","4330.59",13567,"9.60","29.62","22.55",45
"011","overt-month-011","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.774Z","178.565","2021-07-08T23:15:43.958Z","126.021",3.08,7.9,6,1,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b52d","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-fr-006 - Failed to load resource: the server responded with a status of 500 ()","11.97","12.25","16.73","0.29","17.19","1.32",5236,0,"0 %",5230,0,"0 %","3.07",6,"3.45","7.27","22.16",33,"1052.32","1797.08","2566.53","84.80","2724.45","498.89",14900,2,"0.01 %",27429,"0.67","0.01 %","3645.92",12076,"4.23","19.08","22.85",37
"012","overt-month-012","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.777Z","172.768","2021-07-08T23:15:43.293Z","122.786",3.82,8.7,6,2,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b52e","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-fr-006 - Failed to load resource: the server responded with a status of 500 ()","12.33","12.36","17.09","0.70","17.06","1.65",5084,0,"0 %",5245,0,"0 %","3.58",6,"2.76","5.50","21.98",31,"1121.09","1949.22","2228.75","411.20","311.52","54.42",15144,0,"0 %",29243,4,"0.04 %","4399.43",17236,"18.54","53.72","22.03",31
"013","overt-month-013","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.778Z","163.91","2021-07-08T23:15:33.517Z","122.917",2.91,6.9,7,1,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b52f","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-fr-007 - Failed to load resource: the server responded with a status of 500 ()","12.58","12.57","17.21","1.82","17.20","0.72",5174,0,"0 %",5253,0,"0 %","3.40",7,"3.39","7.19","22.12",35,"1153.37","1550.99","3160.87","130.82","3073.12",0,15822,0,"0 %",24020,"1.67","0.02 %","3201.59",10656,"4.18","13.18","22.27",36
"014","overt-month-014","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.779Z","169.818","2021-07-08T23:15:34.082Z","125.005",1.96,8.3,7,2,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b530","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-fr-007 - Failed to load resource: the server responded with a status of 500 ()","12.35","12.55","16.80","1.91","18.35","1.44",5247,0,"0 %",5293,0,"0 %","3.54",8,"2.97","5.23","22.08",30,"944.81","1887.19","2327.22","106.98","254.91","31.22",13336,1,"0.01 %",28615,1,"0.01 %","4290.47",12082,"18.88","59.13","22.15",34
"015","overt-month-015","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.780Z","176.155","2021-07-08T23:15:41.804Z","125.992",3,7.9,8,1,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b531","2021-07-08T23:15:41.203Z"" ""warn"" ""[RemoteVideoTrackPublication #1: MTedf9d5932cc9f758c9c2749a3a648b8d]"" ""MTedf9d5932cc9f758c9c2749a3a648b8d: ON > OFF","11.73","12.15","17.16","0.27","17.22","0.29",5120,1,"0.02 %",5195,0,"0 %","3.12",7,"3.03","5.56","21.53",28,"1132.11","1794.67","2764.13","299.16","2692.77","505.58",15922,0,"0 %",27462,"2.67","0.03 %","4046.63",12229,"4.31","14.74","21.63",31
"016","overt-month-016","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.780Z","170.602","2021-07-08T23:15:41.086Z","122.527",4.53,8.6,8,2,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b532","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-fr-008 - Failed to load resource: the server responded with a status of 500 ()","12.19","12.07","17.12","0.27","17.24","0.27",5001,0,"0 %",5145,0,"0 %","3.23",6,"1.23","1.23",20,20,"1018.97","2196.14","3061.46",0,"292.47","50.08",13808,0,"0 %",31829,0,"0 %","2918.19",10326,"18.91","86.02","21.96",32
"017","overt-month-017","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.782Z","166.971","2021-07-08T23:15:37.043Z","123.041",5.04,7.4,9,1,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b533","https:/video-app-2292-7169-dev.twil.io/static/js/2.55f2a182.chunk.js 1 WebSocket connection to 'wss://sdkgw.us1.twilio.com/v1/VideoEvents' failed: Error during WebSocket handshake: Unexpected response code: 504","12.62","12.54","17.09","0.29","16.92","0.27",5094,0,"0 %",5365,0,"0 %","3.66",8,"3.01","6.08","21.92",34,"891.56","1812.03","2009.27",0,"3531.08","431.90",12042,0,"0 %",27941,"0.33","0.00 %","5284.54",15712,"3.64","17.98","21.98",38
"018","overt-month-018","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.785Z","170.955","2021-07-08T23:15:37.122Z","127",4.03,7.8,9,2,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b534","2021-07-08T23:15:37.141Z"" ""warn"" ""[RemoteVideoTrackPublication #0: MTa4d19e3539179920ebc9760582e0c6e3]"" ""MTa4d19e3539179920ebc9760582e0c6e3: ON > OFF","12.19","12.53","17.42","0.27","17.57","0.27",5338,0,"0 %",5294,0,"0 %","3.51",6,"3.36","6.13","23.35",48,"1064.22","1562.93","2757.57","255.05","925.45","118.98",15368,0,"0 %",24693,"3.67","0.04 %","3445.94",10300,"11.10","32.16","22.53",36
"019","overt-month-019","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.786Z","163.875","2021-07-08T23:15:33.469Z","122.583",4.6,8.5,10,1,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b535","https:/video-app-2292-7169-dev.twil.io/static/js/2.55f2a182.chunk.js 1 WebSocket connection to 'wss://sdkgw.us1.twilio.com/v1/VideoEvents' failed: Error during WebSocket handshake: Unexpected response code: 504","17.92","12.34","14.31","0.50","17.91","0.40",5425,0,"0 %",5224,0,"0 %","1.17",2,"1.15","3.69","20.21",26,"1321.57","1882.15","101.56","45.66","885.41","105.25",16750,0,"0 %",28102,"0.33","0.00 %","569.67",786,"10.27","31.56","21.85",35
"020","overt-month-020","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.787Z","167.443","2021-07-08T23:15:33.527Z","127.029",4.03,8.4,10,2,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b536","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-010 - Failed to load resource: the server responded with a status of 500 ()","16.59","12.30","13.82","0.47","16.67","2.07",5620,0,"0 %",5268,0,"0 %","1.70",2,"2.87","6.06","23.77",219,"1192.71","2526.88","294.80","49.75","848.40",0,15734,0,"0 %",36628,"2.33","0.02 %","592.22",811,"7.57","31.23","24.24",219
"021","overt-month-021","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.789Z","166.683","2021-07-08T23:15:36.338Z","123.013",0,7.9,11,1,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b537","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-011 - Failed to load resource: the server responded with a status of 500 ()","12.69","5.63","17.20","1.79","16.20","0.25",5354,0,"0 %",3210,0,"0 %","3.26",6,"1.65","1.65",0,0,"1078.07","1810.12","2630.99","58.56","3490.05","367.05",15168,0,"0 %",27742,1,"0.01 %","3835.93",9612,"4.11","17.60","21.89",32
"022","overt-month-022","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.790Z","165.854","2021-07-08T23:15:35.817Z","123.207",1.21,8.5,11,2,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b538","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-011 - Failed to load resource: the server responded with a status of 500 ()","5.65","12.69","16.06","0.25","16.79","1.72",3175,0,"0 %",5352,0,"0 %","3.25",6,"1.44","1.44",20,20,"1129.61","1909.36","2387.63","302.50","942.66","131.91",15850,0,"0 %",28908,"4.33","0.04 %","3562.01",11898,"10.08","30.77","21.87",34
"023","overt-month-023","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.791Z","167.238","2021-07-08T23:15:36.498Z","122.566",4.53,8.6,12,1,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b539","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-012 - Failed to load resource: the server responded with a status of 500 ()","12.44","12.38","16.66","0.27","17.07","0.27",5108,0,"0 %",5242,0,"0 %","3.24",6,3,3,22,22,"1126.74","1857.33","2228.89","223.67","306.02","29.08",15209,0,"0 %",28431,"3.67","0.04 %","3239.62",10546,"19.64","53.17","21.89",39
